Vivado Simulator 2018.3
Time resolution is 1 ps
simtime = 1990, datain =11110010, dataout =10100001 
simtime = 1994, datain =11110011, dataout =10001001 
simtime = 1998, datain =11110100, dataout =00001101 
simtime = 2002, datain =11110101, dataout =10111111 
simtime = 2006, datain =11110110, dataout =11100110 
simtime = 2010, datain =11110111, dataout =01000010 
simtime = 2014, datain =11111000, dataout =01101000 
simtime = 2018, datain =11111001, dataout =01000001 
simtime = 2022, datain =11111010, dataout =10011001 
simtime = 2026, datain =11111011, dataout =00101101 
simtime = 2030, datain =11111100, dataout =00001111 
simtime = 2034, datain =11111101, dataout =10110000 
simtime = 2038, datain =11111110, dataout =01010100 
simtime = 2042, datain =11111111, dataout =10111011 
simtime = 2046, datain =00000000, dataout =00010110 
